"sub","task","selfconf","coh","rt","resp","cor","cj","RTconf"
1,"dotcolour","lowSC","hard",0.985,-1,1,4,0.298
1,"dotcolour","lowSC","hard",0.567,1,1,5,0.194
1,"dotcolour","lowSC","hard",0.519,-1,0,2,0.257
1,"dotcolour","lowSC","average",0.55,1,1,5,0.204
1,"dotcolour","lowSC","average",0.652,-1,1,4,0.244
1,"dotcolour","lowSC","easy",0.485,1,1,6,0.259
1,"dotcolour","lowSC","easy",0.451,-1,1,6,0.21
1,"dotcolour","lowSC","easy",0.433,1,1,6,0.227
1,"dotcolour","lowSC","average",0.485,1,1,6,0.258
1,"dotcolour","lowSC","average",0.736,1,1,5,0.245
1,"dotcolour","lowSC","average",0.518,-1,1,6,0.226
1,"dotcolour","lowSC","hard",0.769,1,1,5,0.293
1,"dotcolour","lowSC","easy",0.418,1,1,6,0.116
1,"dotcolour","lowSC","average",0.519,-1,1,6,0.262
1,"dotcolour","lowSC","average",0.534,-1,0,2,0.305
1,"dotcolour","lowSC","easy",0.702,-1,1,6,0.196
1,"dotcolour","lowSC","easy",0.719,-1,1,6,0.235
1,"dotcolour","lowSC","average",1.035,1,0,4,0.419
1,"dotcolour","lowSC","easy",0.519,-1,1,6,0.216
1,"dotcolour","lowSC","easy",0.501,1,1,6,0.326
1,"dotcolour","lowSC","average",0.484,-1,1,5,0.241
1,"dotcolour","lowSC","easy",0.517,-1,1,5,0.493
1,"dotcolour","lowSC","hard",0.669,-1,1,4,0.218
1,"dotcolour","lowSC","easy",0.467,1,1,6,0.281
1,"dotcolour","lowSC","hard",0.951,1,0,4,0.61
1,"dotcolour","lowSC","easy",0.468,1,1,5,0.243
1,"dotcolour","lowSC","easy",0.451,1,1,6,0.194
1,"dotcolour","lowSC","hard",0.484,1,1,4,0.195
1,"dotcolour","lowSC","hard",0.919,1,0,4,0.241
1,"dotcolour","lowSC","average",0.568,-1,1,5,0.236
1,"dotcolour","lowSC","hard",0.902,-1,0,4,0.217
1,"dotcolour","lowSC","average",0.551,1,1,6,0.213
1,"dotcolour","lowSC","hard",0.635,-1,1,5,0.59
1,"dotcolour","lowSC","easy",0.417,-1,1,6,0.224
1,"dotcolour","lowSC","easy",0.468,-1,1,6,0.24
1,"dotcolour","lowSC","hard",0.852,-1,1,3,0.783
1,"dotcolour","lowSC","average",0.952,1,1,5,0.228
1,"dotcolour","lowSC","average",0.601,-1,1,4,0.462
1,"dotcolour","lowSC","easy",0.785,-1,1,6,0.199
1,"dotcolour","lowSC","average",0.819,-1,1,5,0.329
1,"dotcolour","lowSC","hard",0.819,1,1,5,0.342
1,"dotcolour","lowSC","hard",0.585,-1,0,3,0.252
1,"dotcolour","lowSC","hard",1.102,-1,1,4,0.688
1,"dotcolour","lowSC","average",0.435,-1,1,4,0.27
1,"dotcolour","lowSC","average",0.619,1,1,6,0.777
1,"dotcolour","lowSC","hard",0.602,-1,1,4,0.237
1,"dotcolour","lowSC","average",0.502,-1,1,5,0.363
1,"dotcolour","lowSC","average",0.501,1,1,6,0.019
1,"dotcolour","lowSC","easy",0.535,-1,1,6,0.168
1,"dotcolour","lowSC","average",0.519,-1,1,5,0.232
1,"dotcolour","lowSC","easy",0.469,-1,1,6,0.055
1,"dotcolour","lowSC","easy",0.418,1,1,6,0.207
1,"dotcolour","lowSC","easy",0.484,-1,1,6,0.207
1,"dotcolour","lowSC","easy",0.652,1,1,6,0.216
1,"dotcolour","lowSC","hard",0.601,-1,1,4,0.401
1,"dotcolour","lowSC","hard",0.768,1,0,4,0.221
1,"dotcolour","lowSC","easy",0.451,-1,1,6,0.206
1,"dotcolour","lowSC","easy",0.468,1,1,6,0.174
1,"dotcolour","lowSC","easy",0.501,-1,1,6,0.206
1,"dotcolour","lowSC","easy",0.502,-1,1,6,0.205
1,"dotcolour","lowSC","easy",0.468,1,1,6,0.205
1,"dotcolour","lowSC","hard",0.702,1,1,4,0.66
1,"dotcolour","lowSC","hard",0.618,-1,1,3,0.38
1,"dotcolour","lowSC","average",0.551,1,1,6,0.209
1,"dotcolour","lowSC","average",0.535,1,1,4,0.207
1,"dotcolour","lowSC","hard",1.236,1,0,3,0.399
1,"dotcolour","lowSC","average",0.618,-1,1,6,0.209
1,"dotcolour","lowSC","easy",0.667,-1,1,6,0.265
1,"dotcolour","lowSC","average",0.534,1,1,4,0.244
1,"dotcolour","lowSC","hard",0.702,1,1,4,0.234
1,"dotcolour","lowSC","hard",0.652,1,1,4,0.225
1,"dotcolour","lowSC","easy",0.502,-1,1,5,0.783
1,"dotcolour","lowSC","average",0.518,1,1,4,0.229
1,"dotcolour","lowSC","hard",0.701,-1,1,4,0.779
1,"dotcolour","lowSC","hard",0.767,1,1,3,0.248
1,"dotcolour","lowSC","average",0.652,-1,1,4,0.222
1,"dotcolour","lowSC","average",0.485,1,1,6,0.205
1,"dotcolour","lowSC","easy",0.734,-1,1,5,0.274
1,"dotcolour","lowSC","average",0.569,-1,1,5,0.252
1,"dotcolour","lowSC","hard",1.051,-1,1,4,0.242
1,"dotcolour","lowSC","average",0.586,-1,1,5,0.396
1,"dotcolour","lowSC","hard",0.869,1,1,4,0.196
1,"dotcolour","lowSC","easy",0.418,1,1,6,0.198
1,"dotcolour","lowSC","hard",0.835,-1,0,3,0.2
1,"dotcolour","lowSC","average",0.568,1,1,5,0.468
1,"dotcolour","lowSC","hard",0.702,-1,1,4,0.399
1,"dotcolour","lowSC","hard",0.752,-1,1,4,0.236
1,"dotcolour","lowSC","hard",0.535,1,1,4,0.216
