"sub","task","traindiffcond","coh","rt","resp","cor","cj","RTconf"
1,"dotnumber","hard","hard",0.551,1,1,5,0.21
1,"dotnumber","hard","hard",0.852,-1,1,5,0.515
1,"dotnumber","hard","hard",1.937,-1,0,4,0.458
1,"dotnumber","hard","easy",0.619,-1,1,4,0.25
1,"dotnumber","hard","easy",0.701,1,1,5,0.96
1,"dotnumber","hard","hard",0.802,-1,1,5,0.387
1,"dotnumber","hard","average",0.718,-1,1,3,0.21
1,"dotnumber","hard","average",0.517,1,1,5,0.209
1,"dotnumber","hard","average",0.902,1,1,4,0.255
1,"dotnumber","hard","hard",0.535,-1,1,3,0.267
1,"dotnumber","hard","average",0.634,1,1,5,0.242
1,"dotnumber","hard","hard",0.986,-1,0,5,0.332
1,"dotnumber","hard","easy",0.585,-1,1,5,0.259
1,"dotnumber","hard","hard",0.818,-1,1,4,0.915
1,"dotnumber","hard","easy",0.584,1,1,4,0.274
1,"dotnumber","hard","easy",0.835,-1,1,5,0.352
1,"dotnumber","hard","easy",0.602,1,0,3,0.293
1,"dotnumber","hard","hard",1.235,1,0,4,0.243
1,"dotnumber","hard","easy",0.668,1,1,6,0.218
1,"dotnumber","hard","average",1.637,-1,1,3,0.922
1,"dotnumber","hard","easy",0.768,1,1,6,0.273
1,"dotnumber","hard","easy",0.552,-1,1,6,0.347
1,"dotnumber","hard","average",0.601,-1,1,5,0.177
1,"dotnumber","hard","easy",0.485,-1,0,6,0.338
1,"dotnumber","hard","hard",0.701,1,1,5,0.419
1,"dotnumber","hard","hard",0.667,1,1,4,0.115
1,"dotnumber","hard","hard",0.601,1,1,4,0.273
1,"dotnumber","hard","easy",0.618,-1,1,5,0.313
1,"dotnumber","hard","hard",0.785,-1,1,4,0.648
1,"dotnumber","hard","average",0.568,-1,1,4,0.562
1,"dotnumber","hard","average",0.685,1,1,5,0.716
1,"dotnumber","hard","easy",0.634,1,1,5,0.32
1,"dotnumber","hard","average",0.535,-1,1,5,0.265
1,"dotnumber","hard","average",0.551,1,1,5,0.227
1,"dotnumber","hard","hard",0.518,1,1,4,0.305
1,"dotnumber","hard","average",0.685,1,1,5,0.181
1,"dotnumber","hard","average",0.969,-1,1,5,0.306
1,"dotnumber","hard","average",1.319,1,1,5,0.012
1,"dotnumber","hard","average",0.735,1,1,5,0.266
1,"dotnumber","hard","easy",1.269,-1,1,5,0.518
1,"dotnumber","hard","easy",0.584,-1,1,5,0.213
1,"dotnumber","hard","easy",0.685,1,1,5,0.429
1,"dotnumber","hard","hard",0.719,-1,0,5,0.266
1,"dotnumber","hard","hard",1.136,1,0,5,0.445
1,"dotnumber","hard","average",0.736,1,1,5,0.441
1,"dotnumber","hard","hard",0.702,1,1,5,0.358
1,"dotnumber","hard","easy",0.584,1,1,5,0.284
1,"dotnumber","hard","hard",0.719,1,0,5,0.204
1,"dotnumber","hard","easy",0.502,-1,1,5,0.603
1,"dotnumber","hard","hard",0.718,-1,0,5,0.497
1,"dotnumber","hard","average",0.534,-1,1,5,0.147
