"sub","task","traindiffcond","coh","rt","resp","cor","cj","RTconf","block"
1,"dotnumber","hard","hard",0.718,1,0,5,0.196,5
1,"dotnumber","hard","hard",0.918,1,1,4,0.339,5
1,"dotnumber","hard","easy",0.702,1,1,4,0.228,5
1,"dotnumber","hard","average",0.986,1,0,5,0.479,5
1,"dotnumber","hard","average",1.385,-1,1,5,0.207,5
1,"dotnumber","hard","easy",0.851,-1,1,4,0.288,5
1,"dotnumber","hard","hard",0.952,1,1,4,0.265,5
1,"dotnumber","hard","average",0.751,1,1,3,0.843,5
1,"dotnumber","hard","average",0.668,1,1,4,0.282,5
1,"dotnumber","hard","hard",1.386,1,1,4,0.241,5
1,"dotnumber","hard","hard",1.119,1,0,3,1.462,5
1,"dotnumber","hard","hard",0.785,1,0,4,0.278,5
1,"dotnumber","hard","hard",0.668,1,0,4,0.859,5
1,"dotnumber","hard","average",1.268,-1,1,5,0.257,5
1,"dotnumber","hard","hard",1.469,-1,0,3,0.79,5
1,"dotnumber","hard","easy",1.286,-1,1,4,0.317,5
1,"dotnumber","hard","easy",0.602,-1,1,4,0.275,5
1,"dotnumber","hard","easy",0.785,1,1,6,0.484,5
1,"dotnumber","hard","hard",1.719,1,0,5,0.534,5
1,"dotnumber","hard","hard",1.086,1,0,3,0.207,5
1,"dotnumber","hard","hard",1.12,1,0,1,0.517,5
1,"dotnumber","hard","easy",0.718,-1,1,3,0.175,5
1,"dotnumber","hard","hard",0.802,-1,1,4,0.243,5
1,"dotnumber","hard","hard",0.635,1,0,4,0.859,5
1,"dotnumber","hard","hard",0.768,1,0,4,0.229,5
1,"dotnumber","hard","easy",3.638,-1,1,3,0.371,5
1,"dotnumber","hard","average",1.686,1,0,3,0.027,5
1,"dotnumber","hard","easy",1.002,-1,1,4,0.221,5
1,"dotnumber","hard","average",0.686,-1,0,4,0.244,5
1,"dotnumber","hard","average",0.735,-1,0,4,0.216,5
1,"dotnumber","hard","easy",0.635,1,1,5,0.241,5
1,"dotnumber","hard","average",0.518,1,0,2,0.254,5
1,"dotnumber","hard","average",0.619,1,1,5,0.182,5
1,"dotnumber","hard","average",1.218,-1,1,4,0.249,5
1,"dotnumber","hard","easy",0.601,1,1,5,0.226,5
1,"dotnumber","hard","average",0.701,-1,1,5,0.504,5
1,"dotnumber","hard","easy",2.337,1,1,5,0.304,5
1,"dotnumber","hard","average",0.852,1,1,5,0.268,5
1,"dotnumber","hard","easy",0.903,-1,1,5,0.28,5
1,"dotnumber","hard","hard",0.652,1,1,5,0.255,5
1,"dotnumber","hard","hard",0.785,-1,1,2,3.681,5
1,"dotnumber","hard","average",0.803,1,1,4,0.277,5
1,"dotnumber","hard","easy",0.635,1,1,5,0.236,5
1,"dotnumber","hard","easy",0.736,-1,1,5,0.144,5
1,"dotnumber","hard","average",0.952,1,1,4,0.351,5
1,"dotnumber","hard","easy",0.701,-1,1,5,0.257,5
1,"dotnumber","hard","average",0.719,1,0,4,0.293,5
1,"dotnumber","hard","easy",0.702,-1,1,5,0.264,5
1,"dotnumber","hard","hard",1.302,-1,1,4,0.293,5
1,"dotnumber","hard","average",0.902,-1,0,2,0.24,5
1,"dotnumber","hard","hard",1.453,-1,0,2,0.215,5
1,"dotnumber","hard","hard",2.17,1,1,4,0.497,5
1,"dotnumber","hard","average",1.001,1,1,4,0.448,5
1,"dotnumber","hard","easy",0.601,1,1,4,0.513,5
1,"dotnumber","hard","hard",0.852,1,1,4,0.726,5
1,"dotnumber","hard","hard",0.786,1,1,4,0.5,5
1,"dotnumber","hard","hard",0.652,1,1,4,0.241,5
1,"dotnumber","hard","hard",0.585,1,1,3,1.035,5
1,"dotnumber","hard","easy",0.753,1,1,6,0.334,5
1,"dotnumber","hard","average",0.885,-1,1,6,0.312,5
1,"dotnumber","hard","easy",0.686,1,0,5,0.411,5
1,"dotnumber","hard","easy",0.753,1,1,5,0.232,5
1,"dotnumber","hard","easy",0.652,-1,1,5,0.256,5
1,"dotnumber","hard","easy",0.751,1,1,5,0.259,5
1,"dotnumber","hard","average",0.785,1,1,5,0.068,5
1,"dotnumber","hard","hard",0.802,1,1,5,0.268,5
1,"dotnumber","hard","easy",2.72,1,1,4,0.27,5
1,"dotnumber","hard","hard",0.718,1,0,3,0.228,6
1,"dotnumber","hard","easy",0.501,1,1,5,0.37,6
1,"dotnumber","hard","average",0.668,-1,1,4,0.259,6
1,"dotnumber","hard","average",0.685,1,0,3,0.249,6
1,"dotnumber","hard","average",0.584,1,0,4,0.243,6
1,"dotnumber","hard","hard",0.702,1,0,3,0.217,6
1,"dotnumber","hard","easy",0.601,1,1,4,0.323,6
1,"dotnumber","hard","hard",2.22,-1,1,3,0.63,6
1,"dotnumber","hard","easy",1.086,-1,1,5,0.253,6
1,"dotnumber","hard","easy",1.002,1,1,5,0.534,6
1,"dotnumber","hard","average",0.668,1,1,5,0.288,6
1,"dotnumber","hard","average",1.185,-1,1,5,0.288,6
1,"dotnumber","hard","hard",0.751,-1,0,3,0.225,6
1,"dotnumber","hard","average",0.669,1,1,5,0.265,6
1,"dotnumber","hard","hard",0.618,-1,0,5,0.145,6
1,"dotnumber","hard","hard",0.652,1,1,5,0.252,6
1,"dotnumber","hard","easy",0.469,-1,1,5,0.363,6
1,"dotnumber","hard","easy",0.702,-1,1,4,1.051,6
1,"dotnumber","hard","average",0.686,-1,1,4,0.24,6
1,"dotnumber","hard","average",0.635,-1,0,3,0.201,6
1,"dotnumber","hard","hard",0.585,-1,1,5,0.676,6
1,"dotnumber","hard","easy",0.519,1,1,5,0.176,6
1,"dotnumber","hard","hard",0.718,-1,1,3,0.199,6
1,"dotnumber","hard","easy",1.369,-1,1,4,0.467,6
1,"dotnumber","hard","average",0.618,-1,1,4,0.146,6
1,"dotnumber","hard","hard",0.551,1,1,5,0.21,6
1,"dotnumber","hard","hard",0.852,-1,1,5,0.515,6
1,"dotnumber","hard","hard",1.937,-1,0,4,0.458,6
1,"dotnumber","hard","easy",0.619,-1,1,4,0.25,6
1,"dotnumber","hard","easy",0.701,1,1,5,0.96,6
1,"dotnumber","hard","hard",0.802,-1,1,5,0.387,6
1,"dotnumber","hard","average",0.718,-1,1,3,0.21,6
1,"dotnumber","hard","average",0.517,1,1,5,0.209,6
1,"dotnumber","hard","average",0.902,1,1,4,0.255,6
1,"dotnumber","hard","hard",0.535,-1,1,3,0.267,6
1,"dotnumber","hard","average",0.634,1,1,5,0.242,6
1,"dotnumber","hard","hard",0.986,-1,0,5,0.332,6
1,"dotnumber","hard","easy",0.585,-1,1,5,0.259,6
1,"dotnumber","hard","hard",0.818,-1,1,4,0.915,6
1,"dotnumber","hard","easy",0.584,1,1,4,0.274,6
1,"dotnumber","hard","easy",0.835,-1,1,5,0.352,6
1,"dotnumber","hard","easy",0.602,1,0,3,0.293,6
1,"dotnumber","hard","hard",1.235,1,0,4,0.243,6
1,"dotnumber","hard","easy",0.668,1,1,6,0.218,6
1,"dotnumber","hard","average",1.637,-1,1,3,0.922,6
1,"dotnumber","hard","easy",0.768,1,1,6,0.273,6
1,"dotnumber","hard","easy",0.552,-1,1,6,0.347,6
1,"dotnumber","hard","average",0.601,-1,1,5,0.177,6
1,"dotnumber","hard","easy",0.485,-1,0,6,0.338,6
1,"dotnumber","hard","hard",0.701,1,1,5,0.419,6
1,"dotnumber","hard","hard",0.667,1,1,4,0.115,6
1,"dotnumber","hard","hard",0.601,1,1,4,0.273,6
1,"dotnumber","hard","easy",0.618,-1,1,5,0.313,6
1,"dotnumber","hard","hard",0.785,-1,1,4,0.648,6
1,"dotnumber","hard","average",0.568,-1,1,4,0.562,6
1,"dotnumber","hard","average",0.685,1,1,5,0.716,6
1,"dotnumber","hard","easy",0.634,1,1,5,0.32,6
1,"dotnumber","hard","average",0.535,-1,1,5,0.265,6
1,"dotnumber","hard","average",0.551,1,1,5,0.227,6
1,"dotnumber","hard","hard",0.518,1,1,4,0.305,6
1,"dotnumber","hard","average",0.685,1,1,5,0.181,6
1,"dotnumber","hard","average",0.969,-1,1,5,0.306,6
1,"dotnumber","hard","average",1.319,1,1,5,0.012,6
1,"dotnumber","hard","average",0.735,1,1,5,0.266,6
1,"dotnumber","hard","easy",1.269,-1,1,5,0.518,6
1,"dotnumber","hard","easy",0.584,-1,1,5,0.213,6
1,"dotnumber","hard","easy",0.685,1,1,5,0.429,6
1,"dotnumber","hard","hard",0.719,-1,0,5,0.266,6
1,"dotnumber","hard","hard",1.136,1,0,5,0.445,6
1,"dotnumber","hard","average",0.736,1,1,5,0.441,6
1,"dotnumber","hard","hard",0.702,1,1,5,0.358,6
1,"dotnumber","hard","easy",0.584,1,1,5,0.284,6
1,"dotnumber","hard","hard",0.719,1,0,5,0.204,7
1,"dotnumber","hard","easy",0.502,-1,1,5,0.603,7
1,"dotnumber","hard","hard",0.718,-1,0,5,0.497,7
1,"dotnumber","hard","average",0.534,-1,1,5,0.147,7
1,"dotnumber","hard","hard",0.651,1,0,3,0.191,7
1,"dotnumber","hard","average",0.668,-1,1,4,0.216,7
1,"dotnumber","hard","average",0.585,1,1,3,0.259,7
1,"dotnumber","hard","easy",1.069,1,1,4,0.217,7
1,"dotnumber","hard","average",0.568,-1,0,4,0.581,7
1,"dotnumber","hard","average",0.535,-1,1,4,0.5,7
1,"dotnumber","hard","easy",1.286,1,1,5,0.358,7
1,"dotnumber","hard","easy",0.501,-1,1,5,0.223,7
1,"dotnumber","hard","hard",0.835,1,1,5,0.417,7
1,"dotnumber","hard","hard",1.052,-1,0,4,0.288,7
1,"dotnumber","hard","average",0.952,-1,1,5,0.441,7
1,"dotnumber","hard","hard",0.618,-1,0,5,0.554,7
1,"dotnumber","hard","easy",0.602,-1,1,5,0.695,7
1,"dotnumber","hard","easy",0.535,1,1,6,0.209,7
1,"dotnumber","hard","average",0.702,1,1,4,0.2,7
1,"dotnumber","hard","easy",0.601,-1,1,4,0.227,7
1,"dotnumber","hard","average",0.652,1,1,4,0.251,7
1,"dotnumber","hard","hard",0.667,-1,1,4,0.225,7
1,"dotnumber","hard","average",0.735,-1,1,4,0.95,7
1,"dotnumber","hard","average",1.402,-1,1,6,0.578,7
1,"dotnumber","hard","hard",0.669,-1,1,5,0.539,7
1,"dotnumber","hard","average",0.768,1,1,5,0.065,7
1,"dotnumber","hard","easy",0.634,-1,1,5,0.273,7
1,"dotnumber","hard","easy",0.636,1,1,5,0.343,7
1,"dotnumber","hard","easy",0.535,1,1,5,0.208,7
1,"dotnumber","hard","easy",0.484,1,1,6,0.304,7
1,"dotnumber","hard","average",0.969,1,1,5,0.008,7
1,"dotnumber","hard","easy",1.285,-1,1,4,0.415,7
1,"dotnumber","hard","hard",0.753,1,0,3,0.123,7
1,"dotnumber","hard","easy",0.501,1,1,5,0.253,7
1,"dotnumber","hard","average",0.684,-1,1,4,1.667,7
1,"dotnumber","hard","hard",3.922,1,0,1,0.25,7
1,"dotnumber","hard","average",0.952,-1,1,3,0.261,7
1,"dotnumber","hard","average",1.519,1,1,6,0.936,7
1,"dotnumber","hard","easy",0.634,1,1,4,0.26,7
1,"dotnumber","hard","easy",0.702,-1,1,5,0.217,7
1,"dotnumber","hard","easy",0.468,1,1,4,0.472,7
1,"dotnumber","hard","average",0.719,-1,1,4,0.276,7
1,"dotnumber","hard","hard",0.752,-1,0,4,1.126,7
1,"dotnumber","hard","hard",1.869,1,1,5,0.663,7
1,"dotnumber","hard","average",0.568,-1,0,5,0.017,7
1,"dotnumber","hard","easy",0.418,-1,1,4,0.123,7
1,"dotnumber","hard","hard",0.635,-1,0,4,0.233,7
1,"dotnumber","hard","easy",0.468,-1,1,4,0.184,7
1,"dotnumber","hard","easy",0.418,-1,1,5,0.203,7
1,"dotnumber","hard","average",0.619,1,1,4,0.053,7
1,"dotnumber","hard","hard",0.568,-1,1,4,0.504,7
1,"dotnumber","hard","easy",0.519,1,1,5,0.234,7
1,"dotnumber","hard","hard",0.667,-1,0,2,0.289,7
1,"dotnumber","hard","easy",0.485,1,1,4,0.237,7
1,"dotnumber","hard","average",0.686,1,1,5,0.34,7
1,"dotnumber","hard","average",0.568,-1,1,5,0.491,7
1,"dotnumber","hard","average",0.552,1,1,5,0.236,7
1,"dotnumber","hard","hard",0.718,-1,0,4,0.833,7
1,"dotnumber","hard","hard",0.634,1,0,5,0.193,7
1,"dotnumber","hard","hard",0.702,-1,0,5,0.264,7
1,"dotnumber","hard","easy",0.451,-1,1,5,0.248,7
1,"dotnumber","hard","hard",0.618,-1,1,2,0.481,7
1,"dotnumber","hard","average",0.551,-1,1,5,0.371,7
1,"dotnumber","hard","average",0.401,-1,0,5,0.335,7
1,"dotnumber","hard","hard",0.735,-1,1,4,0.479,7
1,"dotnumber","hard","easy",0.469,1,1,4,0.309,7
1,"dotnumber","hard","hard",0.651,1,1,4,0.314,7
1,"dotnumber","hard","hard",0.617,-1,1,4,0.432,7
1,"dotnumber","hard","average",3.287,1,0,2,0.243,7
1,"dotnumber","hard","easy",0.602,1,0,2,0.285,7
1,"dotnumber","hard","hard",1.703,-1,1,4,0.28,7
1,"dotnumber","hard","hard",0.485,-1,0,4,0.341,7
1,"xotask","easy","average",2.303,-1,1,5,0.13,5
1,"xotask","easy","average",0.785,1,1,5,0.152,5
1,"xotask","easy","easy",0.619,1,1,6,0.324,5
1,"xotask","easy","hard",1.619,-1,1,6,0.24,5
1,"xotask","easy","easy",0.75,-1,1,6,0.178,5
1,"xotask","easy","easy",1.12,-1,1,6,0.233,5
1,"xotask","easy","easy",0.618,1,1,6,0.225,5
1,"xotask","easy","easy",1.085,-1,1,5,0.167,5
1,"xotask","easy","average",0.852,1,1,5,0.233,5
1,"xotask","easy","easy",0.602,1,1,6,0.225,5
1,"xotask","easy","hard",1.268,-1,1,4,0.256,5
1,"xotask","easy","average",1.035,1,1,4,0.263,5
1,"xotask","easy","average",1.336,-1,0,5,0.192,5
1,"xotask","easy","easy",0.768,-1,1,5,0.229,5
1,"xotask","easy","hard",0.935,1,1,6,0.384,5
1,"xotask","easy","easy",0.82,-1,1,6,0.218,5
1,"xotask","easy","average",1.236,1,0,5,0.202,5
1,"xotask","easy","hard",1.686,1,0,4,0.232,5
1,"xotask","easy","average",1.786,1,0,3,1.089,5
1,"xotask","easy","average",1.019,-1,1,5,0.422,5
1,"xotask","easy","easy",0.734,1,1,5,0.802,5
1,"xotask","easy","average",1.052,1,1,3,0.977,5
1,"xotask","easy","easy",0.736,1,1,6,0.231,5
1,"xotask","easy","hard",2.353,-1,1,6,0.585,5
