starttime,task,withinblocktrial,block,running,traindiffcond,trialdifflevel,n_xes,rt,resp,cor,cresp,conf_press,cj,RTconf,n_reddots,dotsLeft,dotsRight,post1,post2,post3,post4,stoptime,sub,age,gender,handedness,
,xotask,8,3,training,hard,hard,33,751,['c'],0,right,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,9,3,training,hard,hard,43,700,['c'],1,left,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,10,3,training,hard,hard,35,719,['n'],1,right,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,11,3,training,hard,hard,35,652,['n'],1,right,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,12,3,training,hard,hard,35,784,['n'],1,right,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,13,3,training,hard,hard,33,634,['n'],1,right,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,14,3,training,hard,hard,45,802,['c'],1,left,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,15,3,training,hard,hard,44,601,['c'],1,left,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,16,3,training,hard,hard,42,569,['n'],0,left,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,17,3,training,hard,hard,33,668,['n'],1,right,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,18,3,training,hard,hard,42,736,['n'],0,left,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,19,3,training,hard,hard,36,752,['c'],0,right,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,20,3,training,hard,hard,45,651,['n'],0,left,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,21,3,training,hard,hard,37,652,['n'],1,right,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,22,3,training,hard,hard,46,885,['c'],1,left,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,23,3,training,hard,hard,43,668,['n'],0,left,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,0,4,training,hard,hard,43,819,['n'],0,left,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,1,4,training,hard,hard,46,684,['c'],1,left,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,2,4,training,hard,hard,42,685,['n'],0,left,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,3,4,training,hard,hard,35,2019,['n'],1,right,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,4,4,training,hard,hard,45,918,['n'],0,left,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,5,4,training,hard,hard,42,1119,['c'],1,left,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,6,4,training,hard,hard,36,685,['n'],1,right,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,7,4,training,hard,hard,46,1135,['n'],0,left,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,8,4,training,hard,hard,45,735,['n'],0,left,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,9,4,training,hard,hard,44,1552,['n'],0,left,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,10,4,training,hard,hard,45,835,['c'],1,left,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,11,4,training,hard,hard,45,685,['c'],1,left,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,12,4,training,hard,hard,35,835,['n'],1,right,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,13,4,training,hard,hard,37,668,['n'],1,right,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,14,4,training,hard,hard,34,618,['n'],1,right,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,15,4,training,hard,hard,44,684,['n'],0,left,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,16,4,training,hard,hard,36,1086,['n'],1,right,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,17,4,training,hard,hard,35,669,['n'],1,right,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,18,4,training,hard,hard,37,1235,['n'],1,right,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,19,4,training,hard,hard,35,685,['n'],1,right,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,20,4,training,hard,hard,44,719,['c'],1,left,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,21,4,training,hard,hard,37,1185,['n'],1,right,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,22,4,training,hard,hard,37,1118,['n'],1,right,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,23,4,training,hard,hard,35,701,['n'],1,right,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,0,5,main,hard,easy,72,2003,['c'],1,left,['9'],5,4397,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,1,5,main,hard,easy,6,1202,['n'],1,right,['0'],6,851,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,2,5,main,hard,hard,46,1303,['c'],1,left,['8'],4,959,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,3,5,main,hard,average,56,3321,['n'],0,left,['8'],4,2244,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,4,5,main,hard,hard,36,1586,['n'],1,right,['9'],5,850,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,5,5,main,hard,average,22,1285,['n'],1,right,['0'],6,598,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,6,5,main,hard,easy,8,1219,['n'],1,right,['0'],6,551,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,7,5,main,hard,easy,74,1019,['c'],1,left,['0'],6,1051,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,8,5,main,hard,easy,9,1135,['n'],1,right,['0'],6,516,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,9,5,main,hard,hard,42,952,['c'],1,left,['0'],6,460,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,10,5,main,hard,easy,9,1152,['n'],1,right,['0'],6,469,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,11,5,main,hard,average,54,1235,['c'],1,left,['9'],5,523,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,12,5,main,hard,average,24,1185,['n'],1,right,['9'],5,393,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,13,5,main,hard,hard,33,1502,['n'],1,right,['8'],4,471,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,14,5,main,hard,hard,34,1686,['n'],1,right,['3'],3,1818,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,15,5,main,hard,easy,9,1169,['n'],1,right,['9'],5,1091,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,16,5,main,hard,easy,70,1268,['c'],1,left,['9'],5,422,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,17,5,main,hard,hard,33,1386,['n'],1,right,['9'],5,456,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,18,5,main,hard,hard,34,1019,['n'],1,right,['9'],5,319,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,19,5,main,hard,easy,8,1052,['n'],1,right,['0'],6,426,,,,,,,,,39,18,Vrouw,Rechts,
